food_id,nutrient,value_per_100g,unit
1,Iron,4.3,mg
1,Protein,17.0,g
1,Calcium,54.0,mg
1,Fiber,10.6,g
2,Iron,2.7,mg
2,Vitamin C,28.1,mg
2,Calcium,99.0,mg
2,Folate,194.0,mcg
3,Iron,3.3,mg
3,Protein,9.0,g
3,Folate,181.0,mcg
3,Fiber,7.9,g
4,Calcium,110.0,mg
4,Protein,10.0,g
4,Vitamin B12,0.75,mcg
5,Protein,20.4,g
5,Omega3,2.3,g
5,Vitamin D,13.1,mcg
5,Calcium,12.0,mg
6,Vitamin C,89.2,mg
6,Folate,63.0,mcg
6,Calcium,47.0,mg
6,Fiber,2.6,g
7,Magnesium,270.0,mg
7,Protein,21.0,g
7,Calcium,264.0,mg
7,Vitamin E,25.6,mg
8,Protein,13.0,g
8,Iron,1.75,mg
8,Vitamin B12,1.11,mcg
8,Vitamin D,2.0,mcg
9,Folate,172.0,mcg
9,Protein,8.9,g
9,Iron,2.9,mg
9,Fiber,7.6,g
10,Calcium,382.0,mg
10,Protein,24.6,g
10,Omega3,1.5,g
10,Vitamin D,4.8,mcg
11,Magnesium,7.0,mg
11,Caffeine,40.0,mg
12,Protein,25.0,g
12,Omega3,0.4,g
13,Protein,21.0,g
13,Magnesium,270.0,mg
14,Vitamin A,961.0,mcg
14,Fiber,3.0,g
14,Vitamin C,22.3,mg
14,Potassium,337.0,mg
15,Healthy Fats,14.7,g
15,Folate,81.0,mcg
15,Vitamin K,21.0,mcg
15,Potassium,485.0,mg
16,Potassium,358.0,mg
16,Vitamin B6,0.4,mg
16,Fiber,2.6,g
16,Magnesium,27.0,mg
17,Fiber,3.1,g
17,Vitamin C,4.3,mg
17,Potassium,116.0,mg
18,Vitamin A,532.0,mcg
18,Fiber,2.0,g
18,Potassium,352.0,mg
18,Vitamin C,21.0,mg
19,Iron,0.8,mg
19,Fiber,1.8,g
19,Magnesium,43.0,mg
19,Protein,2.7,g
20,Protein,4.4,g
20,Iron,1.5,mg
20,Magnesium,64.0,mg
20,Fiber,2.8,g
21,Protein,8.1,g
21,Calcium,350.0,mg
21,Iron,1.6,mg
22,Vitamin C,36.4,mg
22,Vitamin A,54.0,mcg
22,Fiber,1.6,g
23,Vitamin C,9.7,mg
23,Fiber,2.4,g
23,Antioxidants,1.0,index
24,Protein,5.4,g
24,Iron,1.5,mg
24,Vitamin C,40.0,mg
24,Fiber,5.7,g
25,Vitamin A,835.0,mcg
25,Fiber,2.8,g
25,Vitamin C,5.9,mg
25,Potassium,320.0,mg
